[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed0 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed0/learned_reverse --seed 0 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 533 metrics records newer than committed checkpoint checkpoint_epoch14999.pt
resuming from checkpoint_epoch14999.pt: global_step=60000 mode=on_policy
  continue epochs [15000, 25000)
restored learned-reverse state from learned_reverse_epoch14999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=60000 loss=-0.0154 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15360256
step=60025 loss=-0.0123 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15366656
step=60050 loss=-0.0105 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15373056
step=60075 loss=-0.0079 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15379456
step=60100 loss=-0.0061 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15385856
step=60125 loss=-0.0065 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15392256
step=60150 loss=-0.0035 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15398656
step=60175 loss=-0.0036 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15405056
step=60200 loss=-0.0007 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15411456
step=60225 loss=-0.0022 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15417856
step=60250 loss=0.0699 reverse_nll=0.0293 ESS=0.932 batch_outcomes=256 batch_topologies=256 seen=15424256
step=60275 loss=-0.0044 reverse_nll=0.0098 ESS=0.988 batch_outcomes=256 batch_topologies=256 seen=15430656
step=60300 loss=-0.0198 reverse_nll=0.0051 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=15437056
step=60325 loss=-0.0169 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15443456
step=60350 loss=-0.0156 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15449856
step=60375 loss=-0.0106 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15456256
step=60400 loss=0.0064 reverse_nll=0.0027 ESS=0.986 batch_outcomes=256 batch_topologies=256 seen=15462656
step=60425 loss=0.0026 reverse_nll=0.0095 ESS=0.985 batch_outcomes=256 batch_topologies=256 seen=15469056
step=60450 loss=-0.0160 reverse_nll=0.0006 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15475456
