[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed1 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed1/learned_reverse --seed 1 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from /home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 2484 metrics records newer than committed checkpoint checkpoint_epoch15999.pt
resuming from checkpoint_epoch15999.pt: global_step=64000 mode=on_policy
  continue epochs [16000, 25000)
restored learned-reverse state from learned_reverse_epoch15999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=64000 loss=-0.0342 reverse_nll=0.0003 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=16384256
step=64025 loss=-0.0236 reverse_nll=0.0006 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=16390656
step=64050 loss=-0.0262 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16397056
step=64075 loss=-0.0200 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16403456
step=64100 loss=-0.0089 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16409856
step=64125 loss=-0.0105 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16416256
step=64150 loss=-0.0116 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16422656
step=64175 loss=-0.0074 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16429056
step=64200 loss=-0.0046 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16435456
step=64225 loss=-0.0039 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16441856
step=64250 loss=-0.0029 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16448256
step=64275 loss=-0.0032 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16454656
step=64300 loss=-0.0005 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16461056
step=64325 loss=0.0031 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16467456
step=64350 loss=-0.0018 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16473856
step=64375 loss=-0.0038 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16480256
step=64400 loss=0.0002 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16486656
step=64425 loss=-0.0013 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16493056
step=64450 loss=-0.0006 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16499456
step=64475 loss=-0.0033 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16505856
step=64500 loss=-0.0003 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16512256
step=64525 loss=0.0005 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16518656
step=64550 loss=0.0385 reverse_nll=0.7922 ESS=0.953 batch_outcomes=256 batch_topologies=256 seen=16525056
step=64575 loss=-0.0234 reverse_nll=0.0084 ESS=0.987 batch_outcomes=256 batch_topologies=256 seen=16531456
step=64600 loss=0.0323 reverse_nll=0.0012 ESS=0.942 batch_outcomes=256 batch_topologies=256 seen=16537856
step=64625 loss=-0.0411 reverse_nll=0.0012 ESS=0.996 batch_outcomes=256 batch_topologies=256 seen=16544256
step=64650 loss=-0.0441 reverse_nll=0.0002 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16550656
step=64675 loss=-0.0235 reverse_nll=0.0050 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=16557056
step=64700 loss=-0.0057 reverse_nll=0.0012 ESS=0.989 batch_outcomes=256 batch_topologies=256 seen=16563456
step=64725 loss=-0.0222 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16569856
step=64750 loss=-0.0206 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16576256
