step=00000 loss=-0.0000 R=0.600 adv=0.000 unique=37 p_hat=0.1656
step=00001 loss=-0.0000 R=0.600 adv=-0.000 unique=28 p_hat=0.2343
step=00002 loss=0.0000 R=0.600 adv=-0.000 unique=20 p_hat=0.2957
step=00003 loss=-0.0000 R=0.600 adv=0.000 unique=12 p_hat=0.4178
step=00004 loss=-0.0000 R=0.600 adv=0.000 unique=13 p_hat=0.4936
step=00005 loss=-0.0000 R=0.600 adv=0.000 unique=9 p_hat=0.6202
step=00006 loss=0.0000 R=0.600 adv=-0.000 unique=10 p_hat=0.7024
step=00007 loss=0.0000 R=0.600 adv=0.000 unique=5 p_hat=0.8119
step=00008 loss=-0.0000 R=0.600 adv=0.000 unique=3 p_hat=0.9243
step=00009 loss=0.0000 R=0.600 adv=-0.000 unique=4 p_hat=0.8880
step=00010 loss=0.0000 R=0.600 adv=-0.000 unique=3 p_hat=0.9315
step=00011 loss=0.0000 R=0.600 adv=-0.000 unique=3 p_hat=0.9768
step=00012 loss=-0.0000 R=0.600 adv=0.000 unique=2 p_hat=0.9922
step=00013 loss=-0.0000 R=0.600 adv=0.000 unique=3 p_hat=0.9539
step=00014 loss=-0.0000 R=0.600 adv=0.000 unique=2 p_hat=0.9922
step=00015 loss=-0.0000 R=0.600 adv=0.000 unique=2 p_hat=0.9922
step=00016 loss=-0.0000 R=0.600 adv=0.000 unique=2 p_hat=0.9922
step=00017 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00018 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00019 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00020 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00021 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00022 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00023 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00024 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00025 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00026 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00027 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00028 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00029 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00030 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00031 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00032 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00033 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00034 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00035 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00036 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00037 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00038 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00039 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00040 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00041 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00042 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00043 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00044 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00045 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00046 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00047 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00048 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00049 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00050 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00051 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00052 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00053 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00054 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00055 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00056 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00057 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00058 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00059 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00060 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00061 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00062 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00063 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00064 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00065 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00066 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00067 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00068 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00069 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00070 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00071 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00072 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00073 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00074 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00075 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00076 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00077 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00078 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00079 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00080 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00081 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00082 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00083 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00084 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00085 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00086 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00087 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00088 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00089 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00090 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00091 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00092 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00093 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00094 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00095 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00096 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00097 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00098 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00099 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
--- epoch=009 eval L1=2.0000 TV=1.0000 modes=0/4 peak_mass=0.0000
step=00100 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00101 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00102 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00103 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00104 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00105 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00106 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00107 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00108 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00109 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00110 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00111 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00112 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00113 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00114 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00115 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00116 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00117 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00118 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00119 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00120 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00121 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00122 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00123 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00124 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00125 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00126 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00127 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00128 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00129 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00130 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00131 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00132 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00133 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00134 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00135 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00136 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00137 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00138 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00139 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00140 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00141 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00142 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00143 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00144 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00145 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00146 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00147 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00148 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00149 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00150 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00151 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00152 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00153 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00154 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00155 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00156 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00157 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00158 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00159 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00160 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00161 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00162 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00163 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00164 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00165 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00166 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00167 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00168 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00169 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00170 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
step=00171 loss=0.0000 R=0.600 adv=0.000 unique=1 p_hat=1.0000
