step=00000 loss=-0.0000 R=0.600 adv=0.000 unique=13 p_hat=0.1797
step=00001 loss=0.0000 R=0.600 adv=0.000 unique=14 p_hat=0.1270
step=00002 loss=-0.0000 R=0.663 adv=0.000 unique=19 p_hat=0.0898
step=00003 loss=-0.0000 R=0.600 adv=0.000 unique=18 p_hat=0.1055
step=00004 loss=-0.0000 R=0.663 adv=0.000 unique=21 p_hat=0.0938
step=00005 loss=-0.0000 R=0.756 adv=0.000 unique=28 p_hat=0.0391
step=00006 loss=-0.0000 R=0.928 adv=0.000 unique=24 p_hat=0.0762
step=00007 loss=-0.0000 R=0.709 adv=0.000 unique=29 p_hat=0.0371
step=00008 loss=-0.0000 R=0.772 adv=0.000 unique=30 p_hat=0.0352
step=00009 loss=-0.0000 R=0.709 adv=0.000 unique=29 p_hat=0.0371
step=00010 loss=-0.0000 R=0.725 adv=0.000 unique=32 p_hat=0.0312
step=00011 loss=-0.0000 R=0.506 adv=0.000 unique=31 p_hat=0.0332
step=00012 loss=-0.0000 R=0.600 adv=0.000 unique=32 p_hat=0.0312
step=00013 loss=0.0000 R=0.334 adv=0.000 unique=32 p_hat=0.0312
step=00014 loss=-0.0000 R=0.413 adv=0.000 unique=30 p_hat=0.0352
step=00015 loss=0.0000 R=0.334 adv=0.000 unique=31 p_hat=0.0332
step=00016 loss=-0.0000 R=0.506 adv=0.000 unique=32 p_hat=0.0312
step=00017 loss=-0.0000 R=0.350 adv=0.000 unique=29 p_hat=0.0391
step=00018 loss=0.0000 R=0.303 adv=-0.000 unique=32 p_hat=0.0312
step=00019 loss=0.0000 R=0.303 adv=0.000 unique=32 p_hat=0.0312
step=00020 loss=-0.0000 R=0.241 adv=0.000 unique=31 p_hat=0.0332
step=00021 loss=-0.0000 R=0.303 adv=0.000 unique=28 p_hat=0.0391
step=00022 loss=-0.0000 R=0.381 adv=0.000 unique=32 p_hat=0.0312
step=00023 loss=-0.0000 R=0.288 adv=0.000 unique=32 p_hat=0.0312
step=00024 loss=-0.0000 R=0.163 adv=0.000 unique=31 p_hat=0.0332
step=00025 loss=-0.0000 R=0.522 adv=0.000 unique=32 p_hat=0.0312
step=00026 loss=-0.0000 R=0.522 adv=0.000 unique=32 p_hat=0.0312
step=00027 loss=0.0000 R=0.819 adv=-0.000 unique=31 p_hat=0.0332
step=00028 loss=0.0000 R=0.584 adv=-0.000 unique=31 p_hat=0.0332
step=00029 loss=0.0000 R=0.303 adv=-0.000 unique=32 p_hat=0.0312
step=00030 loss=-0.0000 R=0.537 adv=0.000 unique=31 p_hat=0.0332
step=00031 loss=0.0000 R=0.334 adv=-0.000 unique=31 p_hat=0.0332
step=00032 loss=0.0000 R=0.663 adv=-0.000 unique=32 p_hat=0.0312
step=00033 loss=-0.0000 R=0.600 adv=0.000 unique=27 p_hat=0.0430
step=00034 loss=0.0000 R=0.553 adv=-0.000 unique=32 p_hat=0.0312
step=00035 loss=-0.0000 R=0.397 adv=0.000 unique=31 p_hat=0.0332
step=00036 loss=0.0000 R=0.584 adv=-0.000 unique=30 p_hat=0.0352
step=00037 loss=-0.0000 R=0.506 adv=0.000 unique=31 p_hat=0.0332
step=00038 loss=-0.0000 R=0.788 adv=0.000 unique=30 p_hat=0.0352
step=00039 loss=-0.0000 R=0.866 adv=0.000 unique=28 p_hat=0.0391
step=00040 loss=-0.0000 R=0.631 adv=0.000 unique=31 p_hat=0.0332
step=00041 loss=-0.0000 R=0.397 adv=0.000 unique=31 p_hat=0.0332
step=00042 loss=0.0000 R=0.741 adv=0.000 unique=31 p_hat=0.0332
step=00043 loss=-0.0000 R=0.647 adv=0.000 unique=31 p_hat=0.0332
step=00044 loss=-0.0000 R=0.694 adv=0.000 unique=29 p_hat=0.0371
step=00045 loss=-0.0000 R=0.678 adv=0.000 unique=30 p_hat=0.0371
step=00046 loss=-0.0000 R=0.553 adv=0.000 unique=32 p_hat=0.0312
step=00047 loss=-0.0000 R=0.959 adv=0.000 unique=29 p_hat=0.0391
step=00048 loss=-0.0000 R=0.694 adv=0.000 unique=30 p_hat=0.0352
step=00049 loss=-0.0000 R=1.178 adv=0.000 unique=30 p_hat=0.0352
step=00050 loss=0.0000 R=0.787 adv=-0.000 unique=28 p_hat=0.0410
step=00051 loss=-0.0000 R=0.772 adv=0.000 unique=32 p_hat=0.0312
step=00052 loss=-0.0000 R=0.881 adv=0.000 unique=30 p_hat=0.0352
step=00053 loss=-0.0000 R=0.569 adv=0.000 unique=27 p_hat=0.0430
step=00054 loss=-0.0000 R=0.756 adv=0.000 unique=32 p_hat=0.0312
step=00055 loss=0.0000 R=0.616 adv=-0.000 unique=29 p_hat=0.0391
step=00056 loss=0.0000 R=0.662 adv=-0.000 unique=32 p_hat=0.0312
step=00057 loss=0.0000 R=0.725 adv=-0.000 unique=31 p_hat=0.0332
step=00058 loss=0.0000 R=1.022 adv=-0.000 unique=31 p_hat=0.0332
step=00059 loss=0.0000 R=0.459 adv=-0.000 unique=30 p_hat=0.0352
step=00060 loss=0.0000 R=0.553 adv=-0.000 unique=32 p_hat=0.0312
step=00061 loss=0.0000 R=0.678 adv=-0.000 unique=32 p_hat=0.0312
step=00062 loss=0.0000 R=0.381 adv=-0.000 unique=31 p_hat=0.0332
step=00063 loss=0.0000 R=0.491 adv=0.000 unique=32 p_hat=0.0312
step=00064 loss=-0.0000 R=0.553 adv=0.000 unique=29 p_hat=0.0371
step=00065 loss=-0.0000 R=0.897 adv=0.000 unique=30 p_hat=0.0352
step=00066 loss=0.0000 R=0.944 adv=0.000 unique=31 p_hat=0.0332
step=00067 loss=-0.0000 R=0.663 adv=0.000 unique=28 p_hat=0.0410
step=00068 loss=0.0000 R=0.772 adv=-0.000 unique=29 p_hat=0.0391
step=00069 loss=0.0000 R=0.944 adv=0.000 unique=29 p_hat=0.0371
step=00070 loss=-0.0000 R=0.569 adv=0.000 unique=30 p_hat=0.0352
step=00071 loss=-0.0000 R=0.553 adv=0.000 unique=29 p_hat=0.0391
step=00072 loss=-0.0000 R=0.912 adv=0.000 unique=29 p_hat=0.0371
step=00073 loss=-0.0000 R=0.725 adv=0.000 unique=30 p_hat=0.0352
step=00074 loss=0.0000 R=0.678 adv=-0.000 unique=30 p_hat=0.0352
step=00075 loss=-0.0000 R=0.772 adv=0.000 unique=31 p_hat=0.0332
step=00076 loss=0.0000 R=0.866 adv=0.000 unique=32 p_hat=0.0312
step=00077 loss=-0.0000 R=0.803 adv=0.000 unique=28 p_hat=0.0391
step=00078 loss=0.0000 R=1.147 adv=-0.000 unique=28 p_hat=0.0391
step=00079 loss=-0.0000 R=0.616 adv=-0.000 unique=30 p_hat=0.0352
step=00080 loss=0.0000 R=0.600 adv=0.000 unique=31 p_hat=0.0332
step=00081 loss=-0.0000 R=0.647 adv=0.000 unique=29 p_hat=0.0371
step=00082 loss=0.0000 R=0.725 adv=-0.000 unique=30 p_hat=0.0352
step=00083 loss=0.0000 R=0.756 adv=-0.000 unique=32 p_hat=0.0312
step=00084 loss=-0.0000 R=0.694 adv=0.000 unique=32 p_hat=0.0312
step=00085 loss=-0.0000 R=1.131 adv=0.000 unique=32 p_hat=0.0312
step=00086 loss=0.0000 R=0.725 adv=-0.000 unique=29 p_hat=0.0371
step=00087 loss=0.0000 R=0.803 adv=0.000 unique=31 p_hat=0.0332
step=00088 loss=-0.0000 R=0.600 adv=0.000 unique=31 p_hat=0.0332
step=00089 loss=0.0000 R=0.897 adv=-0.000 unique=31 p_hat=0.0332
step=00090 loss=0.0000 R=0.725 adv=-0.000 unique=31 p_hat=0.0332
step=00091 loss=0.0000 R=1.162 adv=0.000 unique=29 p_hat=0.0371
step=00092 loss=0.0000 R=0.631 adv=-0.000 unique=32 p_hat=0.0312
step=00093 loss=0.0000 R=1.053 adv=0.000 unique=31 p_hat=0.0332
step=00094 loss=-0.0000 R=0.850 adv=0.000 unique=30 p_hat=0.0352
step=00095 loss=0.0000 R=1.053 adv=-0.000 unique=29 p_hat=0.0371
step=00096 loss=0.0000 R=0.912 adv=-0.000 unique=31 p_hat=0.0332
step=00097 loss=0.0000 R=0.897 adv=-0.000 unique=30 p_hat=0.0352
step=00098 loss=0.0000 R=0.991 adv=-0.000 unique=30 p_hat=0.0352
