method,method_label,seed,training_updates,training_oracle_calls,n_sampled,valid_fraction,n_unique,unique_fraction,mean_proxy,n_mode_candidates,n_modes,top_modes_mean_proxy,n_scaffolds_proxy_gt_7,n_scaffolds_proxy_gt_8,importance_ess_fraction
grpo,GRPO,0,2500,250000,50000,1.0,1,0.00002,3.7906651496887207,0,0,,0,0,1.0
grpo,GRPO,1,2500,250000,50000,1.0,5,0.0001,4.613793592047691,0,0,,0,0,0.0007198132478119338
grpo,GRPO,2,2500,250000,50000,1.0,11,0.00022,4.3777289820575715,0,0,,0,0,0.0005933449381970047
count_ips_grpo,Count IPS-GRPO,0,2500,250000,50000,1.0,2,0.00004,5.271508508253097,0,0,,0,0,0.6973125871848498
count_ips_grpo,Count IPS-GRPO,1,2500,250000,50000,1.0,6,0.00012,3.6340780222129823,0,0,,0,0,0.000020055866574656048
count_ips_grpo,Count IPS-GRPO,2,2500,250000,50000,1.0,252,0.00504,2.5420179446220397,0,0,,0,0,0.000020494377021368058
mips_grpo,MIPS-GRPO,0,2500,250000,50000,0.99628,47957,0.9627213233227607,4.3745760140234236,63,42,7.271157139823551,61,1,0.000037315900566490126
mips_grpo,MIPS-GRPO,1,2500,250000,50000,0.99512,45548,0.9154272851515395,4.392264923688173,13,12,7.148685852686564,13,0,0.000026824250431781147
mips_grpo,MIPS-GRPO,2,2500,250000,50000,0.99794,46384,0.9295949656291962,4.0766187595379355,23,13,7.210086822509766,22,0,0.0000879734830279664
rgfn,RGFN,0,2500,250000,50000,0.99834,39494,0.7911933810124807,4.567363460608687,60,16,7.173544883728027,51,0,0.000042238604325233516
rgfn,RGFN,1,2500,250000,50000,0.99992,36357,0.7271981758540683,3.755945782893896,48,22,7.273341460661455,41,0,0.000033468353629679764
rgfn,RGFN,2,2500,250000,50000,1.0,35890,0.7178,4.358687041144371,5,4,7.124966502189636,5,0,0.00020818876132429806
