method,seed,n_sampled,valid_fraction,n_unique,unique_fraction,mean_log_reward,mean_proxy,run_dir,importance_ess,importance_ess_fraction,log_importance_weight_mean,log_importance_weight_std,n_mode_candidates,n_modes,n_scaffolds_proxy_gt_7,n_scaffolds_proxy_gt_8,train_final_ips_duplicate_fraction,train_final_ips_unique_outcomes,train_final_ips_clipped_fraction,top_modes_mean_proxy,top_modes_mean_reward,top_modes_mean_qed,top_modes_mean_molecular_weight,top_modes_mean_sa_score,top_modes_unique_scaffolds,train_final_ips_ess_fraction,train_final_reverse_loss
grpo,0,50000,1.0,1,2e-05,30.325321197509766,3.7906651496887207,molecule_synthesis/runs/seh_paper_medium/grpo/seed_0/batch,50000.0,1.0,28.245880126953125,0.0,0,0,0,0,,,,,,,,,,,
grpo,1,50000,1.0,5,0.0001,36.91034873638153,4.613793592047691,molecule_synthesis/runs/seh_paper_medium/grpo/seed_1/batch,35.99066239059669,0.0007198132478119338,34.53766801475525,0.33339464229764215,0,0,0,0,,,,,,,,,,,
grpo,2,50000,1.0,11,0.00022,35.02183185646057,4.3777289820575715,molecule_synthesis/runs/seh_paper_medium/grpo/seed_2/batch,29.667246909850235,0.0005933449381970047,30.392036868133545,1.0171367831067863,0,0,0,0,,,,,,,,,,,
count_ips_grpo,0,50000,1.0,2,4e-05,42.17206806602478,5.271508508253097,molecule_synthesis/runs/seh_paper_medium/count_ips_grpo/seed_0/batch,34865.62935924249,0.6973125871848498,39.47841610069275,0.4866183116389539,0,0,0,0,0.99,1.0,0.0,,,,,,,,
count_ips_grpo,1,50000,1.0,6,0.00012,29.072624177703858,3.6340780222129823,molecule_synthesis/runs/seh_paper_medium/count_ips_grpo/seed_1/batch,1.0027933287328024,2.0055866574656048e-05,27.744772934646605,0.6684703627673697,0,0,0,0,0.99,1.0,0.0,,,,,,,,
count_ips_grpo,2,50000,1.0,252,0.00504,20.336143556976317,2.5420179446220397,molecule_synthesis/runs/seh_paper_medium/count_ips_grpo/seed_2/batch,1.0247188510684029,2.0494377021368058e-05,20.800681444664,6.367275613637222,0,0,0,0,0.5800000000000001,42.0,0.0,,,,,,,,
mips_grpo,0,50000,0.99628,47957,0.9627213233227607,34.99660811218739,4.3745760140234236,molecule_synthesis/runs/seh_paper_medium/mips_grpo/seed_0/20260827_112154,1.8657950283245064,3.7315900566490126e-05,56.796472668304446,8.038378799987084,63,42,61,1,,,,7.271157139823551,3.5191785202197793e+26,0.3115798610839511,545.361904761905,3.129303561427124,42,0.04253107309341431,1.6657084226608276
mips_grpo,1,50000,0.99512,45548,0.9154272851515395,35.138119389505384,4.392264923688173,molecule_synthesis/runs/seh_paper_medium/mips_grpo/seed_1/batch,1.3412125215890573,2.6824250431781147e-05,51.68695385328293,7.957915506019139,13,12,13,0,,,,7.148685852686564,2.0161207958695774e+25,0.256142824094453,584.2230000000001,2.9543221743959296,12,0.048048488795757294,2.174913167953491
mips_grpo,2,50000,0.99794,46384,0.9295949656291962,32.612950076303484,4.0766187595379355,molecule_synthesis/runs/seh_paper_medium/mips_grpo/seed_2/batch,4.39867415139832,8.79734830279664e-05,49.34583654859543,7.661185643309119,23,13,22,0,,,,7.210086822509766,5.51617577328872e+25,0.3287736487779479,535.9122307692309,2.9641590659201613,13,0.10574256628751755,2.2242257595062256
rgfn,0,50000,0.99834,39494,0.7911933810124807,36.53890768486949,4.567363460608687,molecule_synthesis/runs/seh_paper_medium/rgfn/seed_0/batch,2.1119302162616758,4.2238604325233516e-05,49.26713727604866,7.4542656667013505,60,16,51,0,,,,7.173544883728027,2.8574197288613115e+25,0.17701484794664207,639.9373750000002,3.142292600841819,16,,
rgfn,1,50000,0.99992,36357,0.7271981758540683,30.047566263151168,3.755945782893896,molecule_synthesis/runs/seh_paper_medium/rgfn/seed_1/batch,1.6734176814839883,3.3468353629679764e-05,41.96996313365936,9.456960583941484,48,22,41,0,,,,7.273341460661455,8.8895235222633e+25,0.28490070993693073,552.2109090909092,3.4132201254436834,22,,
rgfn,2,50000,1.0,35890,0.7178,34.86949632915497,4.358687041144371,molecule_synthesis/runs/seh_paper_medium/rgfn/seed_2/batch,10.409438066214904,0.00020818876132429806,45.17093676944733,7.677594691237384,5,4,5,0,,,,7.124966502189636,7.250540892644357e+24,0.20673332736464245,590.4210000000003,2.997930054757946,4,,
